State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.9780757680060042	0.01984632163927126	3.99691420600639E-4	0.0	1.0256828556394362E-4	0.0	0.0	0.0	0.001433695444307772	1.4195520425230976E-4
2	0.00797174747206342	0.9818270448500912	0.006550343408914694	0.0	4.5127275344893883E-4	0.0	0.0	0.0	0.003015261274139911	1.843302413418857E-4
3	0.0025752007687326857	0.11236649045689828	0.8743098714018573	0.0016873458066085606	0.0069988367328885455	4.0163876338863985E-4	7.105051629564828E-5	0.0	1.1267960994047603E-4	0.0014768859433899446
4	0.0	0.0	7.800153728222603E-4	0.9633457764504738	0.025106462663827794	0.01010081589150664	4.538232770142813E-5	1.87121308179605E-4	4.218023323477293E-4	1.262365314073949E-5
5	1.1495189594978667E-4	0.0010718942622755826	9.279851683594424E-4	0.007803711240706493	0.9813889789845646	1.9927445537511825E-4	0.0017556960670614616	0.0	0.006540018015844475	1.9748990986309678E-4
6	0.0	0.0	9.843050567069282E-4	0.04540775854183045	0.002695188177890854	0.8804034631751668	0.06269914328417063	0.007606694711821871	2.0344705241249437E-4	0.0
7	0.0	0.0	5.425001744455677E-5	1.0105081367764137E-4	0.012692267255986513	0.03172421803188885	0.9374218410806594	0.01628977322492684	0.0017165995754163514	0.0
8	2.676825474055059E-6	0.0	9.952949907681455E-6	0.002036929637853774	0.0	0.017272232878828755	0.07301948839974294	0.8548141388350206	0.014592356401302626	0.03825222407186959
9	0.014379168557107773	0.07611957589653197	2.0188873034744924E-4	0.0014438404310874117	0.06952872109663275	1.0122015728820465E-4	0.0028134180806491057	0.004939055955875238	0.7804159559860123	0.050057155108467734
10	0.0035228034738399067	0.0104839311940106	0.005289607643808124	1.133170196326076E-4	0.00574120822878629	0.0	0.0	0.03338741907823518	0.12024389260086775	0.8212178207608194
